GEOID,State,EDCost,PMPM,ED,HO,PO,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37147000701,NC,484949.3099,6027,6753,113,3399,18.62731826,75.01015297,6.362528767,43.93337408,12.7903423,43.27628362,20.6,18631,42.4,11.1,Urban,0.67708843,0.15,97.9403549,6,23,57,9.9,1.2581
37147000601,NC,751454.9309,9339,10465,175,5267,18.62731826,75.01015297,6.362528767,43.93337408,12.7903423,43.27628362,7.5,33368,22.7,35.6,Urban,0.10151,0.15,97.9403549,6,23,57,9.9,1.255
37147000603,NC,638790.6415,7875,8635,147,4452,24.35736708,67.93004968,7.712583246,46.15360733,12.80400076,41.04239191,7.8,52791,9.1,35.8,Urban,3.992500127,0.15,97.9403549,6,23,57,9.9,1.2429
37147000502,NC,221542.7348,2684,3018,62,1739,43.07236682,47.27072811,9.656905069,49.50066993,11.85630401,38.64302606,9.1,35631,13.7,45.7,Urban,4.61076,0.15,97.9403549,6,23,57,9.9,1.2654
37147000602,NC,490145.1923,6091,6826,114,3435,18.62731826,75.01015297,6.362528767,43.93337408,12.7903423,43.27628362,18.2,24271,38.2,13.1,Urban,1.595096623,0.15,97.9403549,6,23,57,9.9,1.2429
37147000501,NC,420853.4893,5208,5827,101,2997,28.31065179,63.96498178,7.724366433,46.22876858,12.44322837,41.32800304,7.7,43250,16.1,43.2,Urban,3.970892452,0.15,97.9403549,6,23,57,9.9,1.2654
37147000100,NC,643765.3507,8385,8486,145,5091,28.25233225,64.03331677,7.714350978,41.23273503,12.4666222,46.30064277,17.2,14972,49.6,32.7,Urban,2.201932,0.15,97.9403549,6,23,57,9.9,1.2688
37147001200,NC,262222.5045,3401,3527,62,2301,40.06515048,51.77014898,8.164700542,43.91904233,13.00690728,43.07405039,7.1,42070,12.5,17.9,Urban,6.120150884,0.15,97.9403549,6,23,57,9.9,1.2756
37147001001,NC,53002.07751,732,754,16,429,46.21624801,44.52614903,9.257602954,48.23937775,12.86004428,38.90057798,8.3,46644,24.5,46.6,Urban,7.491941193,0.15,97.9403549,6,23,57,9.9,1.2798
37147001100,NC,180622.4551,2524,2580,56,1465,46.65238892,44.15613282,9.191478263,48.03513529,13.02147226,38.94339244,5.3,52473,7.5,18.5,Urban,12.11511299,0.315375677,97.9403549,6,23,57,9.9,1.2779
37147001002,NC,299993.2704,4158,4137,90,2362,44.26859533,47.07206715,8.659337519,47.61745303,13.13593529,39.24661168,5.1,73086,4.2,39.7,Urban,7.988002,0.15,97.9403549,6,23,57,9.9,1.2798
37083930700,NC,293712.8544,5371,4415,74,2152,26.20545567,67.30105433,6.493490005,39.82615603,14.98433841,45.18950556,10.6,37365,12.9,18.1,Suburban,17.86232869,0.753046409,55.5493834,5,20,44,12.2,0.5126
37065021500,NC,492041.5695,6752,6211,109,3702,39.43546235,56.24225488,4.322282772,43.89560979,13.99453187,42.10985834,17,33250,17.7,10.2,Urban,20.54245982,0.474945377,26.80773493,5,20,31,12.5,1.1478
37127011000,NC,422601.2955,5443,4982,85,3354,38.32442078,50.96088148,10.71469774,41.06534307,12.75487183,46.1797851,10.4,41456,10.6,14.5,Urban,4.997838777,0.678772741,60.60099469,6,14,54,11.8,0.6831
37147000201,NC,141107.0532,1709,1928,40,1113,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,12.7,17567,43.8,31.6,Urban,3.627374554,0.15,97.9403549,6,23,57,9.9,1.2772
37147001303,NC,272537.8917,3280,3397,62,1906,32.65913198,58.13107925,9.209788773,48.64366561,12.6391159,38.71721849,3.1,59873,4.6,52.2,Urban,4.631666269,0.15,97.9403549,6,23,57,9.9,1.2552
37147000302,NC,341550.031,4137,4666,96,2694,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,8.3,48505,12.7,48.2,Urban,4.600309191,0.15,97.9403549,6,23,57,9.9,1.2773
37147001003,NC,126914.4676,1537,1734,36,1001,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,7.3,73421,7.1,41.8,Urban,5.0169384,0.15,97.9403549,6,23,57,9.9,1.2798
37147000400,NC,137995.602,1672,1885,39,1089,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,22.9,55804,10.1,63.5,Urban,2.537417602,0.15,97.9403549,6,23,57,9.9,1.2713
37147000301,NC,81989.47509,993,1120,23,647,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,5.6,80486,8.2,57.5,Urban,3.201582953,0.15,97.9403549,6,23,57,9.9,1.2773
37147000202,NC,76257.85439,924,1042,22,602,43.43720491,46.88385269,9.678942398,49.54078876,11.83144246,38.62776877,8.3,41811,7.7,29.7,Urban,4.805349,0.15,97.9403549,6,23,57,9.9,1.2772
37083930400,NC,310535.4547,5315,5132,77,2708,37.91593695,56.3704028,5.713660245,40.70818684,14.16373682,45.12807634,20.2,29349,20.3,7.2,Suburban,0.895355356,0.405477224,55.5493834,5,20,44,12.2,0.5535
37083930502,NC,499176.711,8544,8250,123,4353,37.91593695,56.3704028,5.713660245,40.70818684,14.16373682,45.12807634,14.8,31410,8.6,8.8,Suburban,10.11300219,0.6530102,55.5493834,5,20,44,12.2,0.5476
37083930501,NC,387741.4547,6637,6408,96,3381,37.91593695,56.3704028,5.713660245,40.70818684,14.16373682,45.12807634,22.7,29967,37.1,5.7,Suburban,7.668380949,0.622933008,55.5493834,5,20,44,12.2,0.5476
37083930300,NC,635523.2651,10878,10504,157,5542,37.91593695,56.3704028,5.713660245,40.70818684,14.16373682,45.12807634,14.1,43298,11.3,12.1,Suburban,7.639233492,0.60554752,55.5493834,5,20,44,12.2,0.5597
37083930200,NC,487196.4698,8339,8052,120,4249,37.91593695,56.3704028,5.713660245,40.70818684,14.16373682,45.12807634,5.8,51637,1.1,29.4,Suburban,6.566417834,0.583069115,55.5493834,5,20,44,12.2,0.5596
37117970600,NC,233196.019,4484,3704,75,2449,22.1598878,72.37026648,5.469845722,37.31825525,14.0549273,48.62681745,13.2,31581,19.7,10.6,Urban,15.47665707,0.286702234,37.56103668,7,18,34,15.4,1.4665
37195001000,NC,184275.8097,2434,2034,32,1389,36.54427647,53.3308344,10.12488912,42.27621607,11.64384491,46.07993902,11.7,33155,9.6,9.1,Suburban,18.45048983,0.468172814,40.30928213,6,20,62,11.2,0.9667
37013930400,NC,456607.3451,7441,6853,109,4207,39.6049896,51.48128898,8.913721414,40.14146773,15.3256705,44.53286177,22.8,27316,19.8,26.2,Suburban,0,0.15,50.5188709,7,16,30,14.5,1.3507
37013930502,NC,270850.7725,4414,4065,64,2495,39.6049896,51.48128898,8.913721414,40.14146773,15.3256705,44.53286177,8.9,47917,10.6,15.5,Suburban,9.378305713,0.392932588,50.5188709,7,16,30,14.5,1.1971
37013930300,NC,395219.2203,6440,5932,94,3641,39.6049896,51.48128898,8.913721414,40.14146773,15.3256705,44.53286177,21.5,23478,37.1,18.4,Suburban,10.28882208,0.15,50.5188709,7,16,30,14.5,1.3479
37013930501,NC,411141.2136,6700,6171,98,3788,39.6049896,51.48128898,8.913721414,40.14146773,15.3256705,44.53286177,8.1,48482,19.5,31.9,Suburban,8.680129008,0.381513991,50.5188709,7,16,30,14.5,1.1971
37195000802,NC,372284.1459,5837,4681,91,2980,21.58001743,69.43072902,8.989253558,43.9,12.35,43.75,18.4,31935,17.6,5.2,Suburban,6.285772861,0.603325284,40.30928213,6,20,62,11.2,0.8164
37195000200,NC,235042.8388,3685,2956,57,1882,21.58001743,69.43072902,8.989253558,43.9,12.35,43.75,28.1,22700,46.4,0.1,Suburban,1.242361361,0.320254258,40.30928213,6,20,62,11.2,0.782
37195000300,NC,239830.3275,3760,3016,59,1920,21.58001743,69.43072902,8.989253558,43.9,12.35,43.75,19.9,25500,28.8,3.9,Suburban,1.362671,0.29162296,40.30928213,6,20,62,11.2,0.782
37195000502,NC,128287.8934,1910,1649,32,1037,37.85352956,49.26702661,12.87944383,50.38342713,12.46337249,37.15320038,7.4,51060,7.3,31.8,Suburban,8.38035349,0.67485758,40.30928213,6,20,62,11.2,0.7356
37195000501,NC,232972.94,3615,2943,57,1869,29.75498343,59.30153377,10.9434828,47.15693654,12.40695244,40.43611101,2.3,76875,3.2,54.3,Suburban,7.343231654,0.461167203,40.30928213,6,20,62,11.2,0.7356
37195000801,NC,237094.6191,3717,2981,58,1898,21.58001743,69.43072902,8.989253558,43.9,12.35,43.75,20.1,15794,57.3,3.4,Suburban,1.775159442,0.345399339,40.30928213,6,20,62,11.2,0.7979
37195000400,NC,929422.1194,14936,11539,220,7585,25.53350178,66.15373306,8.312765156,41.13462641,12.93085532,45.93451827,16.5,40588,18.8,20.1,Suburban,0.146772,0.29162296,40.30928213,6,20,62,11.2,0.7707
37195000100,NC,372512.1233,5840,4684,91,2982,21.58001743,69.43072902,8.989253558,43.9,12.35,43.75,20.7,22644,39.7,11,Suburban,1.27559034,0.382736496,40.30928213,6,20,62,11.2,0.7704
